experiment	degradation	strategy	psnr_rgb	psnr_y	ssim_rgb	ssim_y
D1d	blur→noise	Direct	22.92	23.25	0.6373	0.6481
D1c	blur→noise	Curriculum	21.05	21.54	0.4838	0.5259
D1f	blur→noise	Fine-tune	23.04	23.35	0.6432	0.6539
D2d	noise→blur	Direct	25.68	26.54	0.7843	0.8058
D2c	noise→blur	Curriculum	26.24	26.93	0.8032	0.8203
D2f	noise→blur	Fine-tune	27.92	28.62	0.8464	0.8628
D3d	comp→blur	Direct	20.99	21.35	0.5532	0.5644
D3c	comp→blur	Curriculum	25.26	26.55	0.7566	0.8008
D3f	comp→blur	Fine-tune	25.84	26.97	0.7768	0.8126
T1d	standard	Direct	22.28	22.77	0.6133	0.6278
T1c	standard	Curriculum	20.75	21.21	0.5088	0.5211
T1f	standard	Fine-tune	22.32	22.81	0.6158	0.6302
T2d	noise_first	Direct	18.89	19.29	0.5029	0.5117
T2c	noise_first	Curriculum	18.89	19.32	0.5020	0.5128
T2f	noise_first	Fine-tune	19.00	19.37	0.5108	0.5192
T3d	mixed	Direct	22.26	22.68	0.6383	0.6540
T3c	mixed	Curriculum	21.95	22.43	0.6179	0.6359
T3f	mixed	Fine-tune	22.21	22.61	0.6369	0.6503
