experiment	degradation	strategy	psnr_rgb	psnr_y	ssim_rgb	ssim_y
D1d	blur→noise	Direct	22.92	23.25	0.6373	0.6481
D1c	blur→noise	Curric	21.05	21.54	0.4838	0.5259
D1f	blur→noise	Ft	23.04	23.35	0.6432	0.6539
D1fc	blur→noise	FtCurr	22.66	22.99	0.6232	0.6358
D1fr	blur→noise	FtReplay	22.85	23.18	0.6329	0.6439
D1ff	blur→noise	FtFreeze	22.99	23.30	0.6409	0.6517
D1fl	blur→noise	FtLR	23.01	23.34	0.6410	0.6538
D2d	noise→blur	Direct	25.68	26.54	0.7843	0.8058
D2c	noise→blur	Curric	26.24	26.93	0.8032	0.8203
D2f	noise→blur	Ft	27.92	28.62	0.8464	0.8628
D2fc	noise→blur	FtCurr	21.09	21.70	0.5943	0.6255
D2fr	noise→blur	FtReplay	27.03	27.78	0.8240	0.8414
D2ff	noise→blur	FtFreeze	27.41	28.07	0.8354	0.8518
D2fl	noise→blur	FtLR	27.44	28.14	0.8390	0.8560
D3d	comp→blur	Direct	20.99	21.35	0.5532	0.5644
D3c	comp→blur	Curric	25.26	26.55	0.7566	0.8008
D3f	comp→blur	Ft	25.84	26.97	0.7768	0.8126
D3fc	comp→blur	FtCurr	25.73	26.84	0.7693	0.7938
D3fr	comp→blur	FtReplay	21.05	21.41	0.5537	0.5647
D3ff	comp→blur	FtFreeze	25.68	26.73	0.7684	0.8037
D3fl	comp→blur	FtLR	25.89	27.06	0.7750	0.7989
T1d	standard	Direct	22.28	22.77	0.6133	0.6278
T1c	standard	Curric	20.75	21.21	0.5088	0.5211
T1f	standard	Ft	22.32	22.81	0.6158	0.6302
T1fc	standard	FtCurr	21.34	21.91	0.5540	0.5715
T1fr	standard	FtReplay	22.13	22.68	0.6031	0.6204
T1ff	standard	FtFreeze	22.41	22.88	0.6217	0.6353
T1fl	standard	FtLR	22.42	22.92	0.6215	0.6358
T2d	noise_first	Direct	18.89	19.29	0.5029	0.5117
T2c	noise_first	Curric	18.89	19.32	0.5020	0.5128
T2f	noise_first	Ft	19.00	19.37	0.5108	0.5192
T2fc	noise_first	FtCurr	18.78	19.17	0.4952	0.5026
T2fr	noise_first	FtReplay	18.89	19.32	0.5030	0.5171
T2ff	noise_first	FtFreeze	18.94	19.27	0.5092	0.5189
T2fl	noise_first	FtLR	18.97	19.33	0.5052	0.5090
T3d	mixed	Direct	22.26	22.68	0.6383	0.6540
T3c	mixed	Curric	21.95	22.43	0.6179	0.6359
T3f	mixed	Ft	22.21	22.61	0.6369	0.6503
T3fc	mixed	FtCurr	21.22	21.79	0.5727	0.5994
T3fr	mixed	FtReplay	22.26	22.67	0.6383	0.6512
T3ff	mixed	FtFreeze	22.12	22.53	0.6353	0.6497
T3fl	mixed	FtLR	22.19	22.58	0.6355	0.6501
